n,time_seconds,time_ms,std_dev,operations,theoretical_complexity
1,3.0860028346069155e-07,0.00030860028346069157,1.4599071387295776e-07,0,0.08333333333333333
10,7.832000846974551e-07,0.0007832000846974552,4.667770383637133e-07,9,8.333333333333334
100,1.5441399955307134e-05,0.015441399955307133,2.478290241955355e-07,825,833.3333333333334
1000,0.0018009335995884611,1.8009335995884612,0.0002239381447315701,83250,83333.33333333333
10000,0.17421309699966514,174.21309699966514,0.001607371525423128,8332500,8333333.333333333
100000,17.417400375333575,17417.400375333575,0.056266869287716736,833325000,833333333.3333334
