n,time_seconds,time_ms,std_dev,operations,theoretical_complexity
1,1.5820023691048846e-07,0.00015820023691048846,7.151609363731854e-08,0,1
10,1.2500000593718142e-06,0.0012500000593718141,5.277893230568913e-07,10,10
100,7.191800068540033e-06,0.007191800068540033,7.244960885662002e-08,100,100
1000,9.941680018528131e-05,0.09941680018528132,3.757330567748488e-06,1000,1000
10000,0.0009754863331181696,0.9754863331181696,1.2788935567978991e-05,10000,10000
100000,0.010338764000152878,10.338764000152878,0.0001444391593566698,100000,100000
1000000,0.10247100000015053,102.47100000015053,0.0,1000000,1000000
